,ID,Name,Ort,Beschreibung,Indoor ,Preis,Familie,Paar,Abenteuer,Erholung,Bewertung,AnzahlBewertung,Keyword1,Keyword2,Keyword3,Keyword4,Keyword5,Keyword6,Keyword7,Keyword8
0,1,Felix Nussbaum Haus,Osnabrück,"Das Felix-Nussbaum-Haus, erbaut nach einem Entwurf des amerikanischen Architekten Daniel Libeskind, zeigt zahlreiche Arbeiten die weltweit umfassendste Sammlung von Werken des in Osnabrück geborenen Künstlers Felix Nussbaum, der vierzigjährig in Auschwitz ermordet wurde.

Das bildnerische Werk Nussbaums reicht von seiner Kindheit und Jugend in der großbürgerlichen jüdischen Familie in Osnabrück über die Emigration nach Rom und Brüssel bis hin zum versteckten Ausharren in ständiger Angst vor den Häschern der Gestapo.

Die Dauerausstellung ermöglicht eine intensive Auseinandersetzung mit Leben und Werk des Künstlers sowie mit der Geschichte der Verfolgung und Ermordung der europäischen Juden im Dritten Reich. Zum 100. Geburtstag des Künstlers im Jahr 2004 wurde die Ausstellung ""Zeit im Blick – Felix Nussbaum und die Moderne"" gezeigt, die die Werke Nussbaums im kunstgeschichtlichen Kontext seiner Zeitgenossen, Wahlverwandten und Schicksalsgefährten präsentierte.",1,0,1,1,0,1,4.3,267,,,,,,,,
1,2,Stadtführung Zeitseeing,Osnabrück,"Egal ob zu Fuß, auf zwei oder auch vier Rädern: Osnabrück bietet immer wieder neue Perspektiven. ZEITSEEING Stadtführungen, bietet über 400 Führungen im Jahr an - und kann dabei auf 20 Jahre Erfahrung zurückblicken. Zu erreichen sind die Städteführer an der Rathaus-Information im historischen Rathaus.",0,1,1,1,0,1,4.8,4,,,,,,,,
2,3,Nachwächter Rundgang,Osnabrück,"Als im Jahre 1913 der letzte Nachtwächter seine Runden durch die Stadt zog, endete eine fast 250 Jahre alte Tradition. Der so genannte Hilfspolizeisergeant sorgte nicht nur für Ruhe und Ordnung auf den nächtlichen Straßen, sondern er sollte auch bei Feuergefahr und „unerlaubten Misthaufen“ eingreifen.

Seit einigen Jahren ziehen die Nachtwächter wieder durch die dunklen Straßen der Stadt. Allerdings nicht, um für eine geregelte Nachtruhe zu sorgen, sondern um Ihnen Osnabrück in einem ganz besonderen Schein zu präsentieren – im Kerzenschein.

Ausgestattet mit kleinen Laternen führt Sie der Ordnungshüter durch die Nacht. Empfangen werden Sie im - nur von Kerzen beleuchteten - Friedenssaal. Dann begleitet Sie der Nachtwächter durch den Bucksturm und den Bürgergehorsam, zwei alte Wehrtürme, die auch als Gefängnis genutzt wurden. An der Vitischanze besichtigen Sie das Innere der „Hohen Brücke“.

Den Abschluss der Führung bildet ein wunderschöner Blick aus gut 40 Meter Höhe von der Aussichtsplattform des Marienkirchturms über das nächtliche Osnabrück.",0,1,1,1,1,0,4.0,9,,,,,,,,
3,4,Museum Industriekultur,Osnabrück,"Das Museum Industriekultur ist ein Museum in der Stadt Osnabrück in Niedersachsen. Es gibt einen Überblick über den Steinkohlenbergbau am Piesberg.

Das Museum liegt am Piesberg. Dort wurde bis 1898 und erneut in geringerem Umfang nach dem Zweiten Weltkrieg Steinkohle abgebaut. Der Piesberg war einer der größten Sandsteinbrüche Europas; noch immer wird an den Flanken Sandstein abgebaut.

Hauptgebäude des Museums ist das Haseschachtgebäude, das 1871 fertiggestellt wurde. Seit 2010 gehört das Museum Industriekultur zur Route der Industriekultur im Nordwesten.[1]",1,1,1,1,0,1,4.5,445,,,,,,,,
4,5,Alpaka Wanderung,Osnabrück,"Angefangen hat es im Herbst 2003 mit einem Fernsehbericht über Alpakas und die Verarbeitung der hochwertigen Wolle. Schnell haben mich die Alpakas mit ihren Kulleraugen angesprochen und ich habe beschlossen, diese tollen Tiere zu halten.

Im März 2005, nach langer Suche nach passenden Tieren, bin ich fündig geworden und habe die erste Stute mit ihrem Fohlen geholt.

Im März 2006 kam der erste eigene Alpakanachwuchs zur Welt - AAT Greta G.

Als Zuchtbetrieb sind wir bemüht, den Bestand mit guten Tieren zu vermehren und bringen die Alpakastuten nur mit hochwertigen Deckhengsten zusammen. Es wird versucht, möglichst viele Farbvarianten zu erhalten, um die Wolle in ihren Naturfarben verarbeiten zu können. Ich bin ferner aktiver Teilnehmer an Tiershow.

In den Jahren der Haltung und Zucht habe ich viel Fachwissen aufgebaut. Ferner habe ich an verschiedenen Kursen über Haltung, Zucht, Ausbildung der Tieren teilgenommen und den Sachkundenachweis zur Haltung, als auch den Transportschein abgelegt.
Desweiteren sind wir Mitglied im AAev Deutschland.",0,1,1,1,1,1,5.0,13,,,,,,,,
5,6,Hase Kanu,Osnabrück,"Kommen Sie mit uns auf eine Kanutour. Ob Schulklasse, Verein, Betriebsausflug oder eine Paddeltour mit Freunden und Familie. Kanufahren ist gar nicht schwer!
Wir sorgen für entspanntes Paddeln ohne großen Aufwand: Wir bringen die Boote und Sie die gute Laune mit.
Die Grundkenntnisse sind schnell erklärt und eine Einführung in den Umgang mit Boot und Ausrüstung ist in kurzer Zeit erledigt. Und schon kann es losgehen mit den ersten Paddelschlägen.
Kanadier fahren hat viel mit Aufmerksamkeit zu tun: Aufmerksamkeit auf das Boot und die umgebende Natur. Jeder Paddelschlag wird unmittelbar vom Boot umgesetzt: Man sieht sofort den Erfolg seiner Anstrengung, das ""Boot spricht"" mit dem Paddler. Auch der Fluss teilt sich dem Paddler mit. Jeder überspülte Stein, jedes kleine Wehr hat seinen individuellen Ausdruck im Wasser. Man kann lernen, das ""Wasser zu lesen"" und Gefahrenstellen auszuweichen oder interessante Stellen anzusteuern.",0,1,0,1,1,1,4.3,8,,,,,,,,
6,7,Spielplatz Lerchenstrasse,Osnabrück,"Am 8. September 2013 konnte der erste von drei Großspielplätzen an der Lerchenstraße / Ecke Haster Weg, in direkter Nachbarschaft zum Gemeinschaftszentrum Lerchenstraße feierlich eröffnet werden. Neben den herkömmlichen Spielgeräten wie Schaukeln, Karussell und Röhrenrutsche bietet der Platz eine Wassermatschanlage, ein Trampolin, zwei Kletterfelsen aus Spritzbeton und eine über 300 Meter lange Asphaltrundstrecke zum Skaten. Ein Bolzplatz, ein Beachvolleyballfeld und eine Streetballanlage runden das Angebot für Jugendliche ab. Um dem Anspruch eines Mehrgenerationenspielplatzes gerecht zu werden, gibt es eine Boulebahn und eine Reihe verschiedener Fitness- und Balanciergeräte, außerdem eine Vielzahl von Bänke und Tischen.",0,0,1,0,1,1,4.3,100,,,,,,,,
7,8,Piesberg,Osnabrück,"Die wohl schönste und abwechslungsreichste Rundwanderung in der Region zu jeder Jahreszeit ist die Piesberg-Runde. Die etwa acht Kilometer lange Tour um den Piesberg bietet eine einzigartige Mischung aus Naturerlebnissen, viel Industriekultur und spektakulären Aussichten.",0,0,0,1,1,1,4.4,40,,,,,,,,
8,9,Rubbenbruchsee,Osnabrück,"Der Rubbenbruchsee ist ein künstlich geschaffener See im Westen von Osnabrück und Teil eines großen Naherholungsgebiets. Er ist ca. 24 Hektar groß, hat eine Länge von einem Kilometer und eine Breite von 100–300 Metern. Die Tiefe des Gewässers variiert zwischen zwei und 24 Metern. Die einzige Insel liegt im Süden des Sees.",0,0,1,1,0,1,4.5,202,,,,,,,,
9,10,Schwarzlicht Golf 3D,Osnabrück,"Erlebe das ultimative Freizeiterlebnis mit 18 herausfordernden Bahnen in verschiedenen Themenwelten auf über 500 qm. Ob im Sommer oder Winter, die Anlage ist ein unvergessliches Erlebnis für Jung und Alt.
Die verschiedenen Themenwelten werden Sie faszinieren.",1,1,0,1,0,1,4.4,323,,,,,,,,
